Tamanho do Download (KB),Data do Download,Fuso Horário,Nome do Arquivo,Tipo de Arquivo,Horário Sinótico,Tipo de Observação,Data da Observação
11787968,2023-01-01 03:03:03.000000000,-03,gdas.t00z.1bamua.tm00.bufr_d.20230101,gdas,00,1bamua,2023-01-01 00:00:00
20792640,2023-01-01 03:03:04.000000000,-03,gdas.t00z.1bhrs4.tm00.bufr_d.20230101,gdas,00,1bhrs4,2023-01-01 00:00:00
0,2023-01-01 03:03:02.000000000,-03,gdas.t00z.airsev.tm00.bufr_d.20230101,gdas,00,airsev,2023-01-01 00:00:00
158857712,2023-01-01 03:03:07.000000000,-03,gdas.t00z.atms.tm00.bufr_d.20230101,gdas,00,atms,2023-01-01 00:00:00
1199358808,2023-01-01 03:13:30.000000000,-03,gdas.t00z.crisf4.tm00.bufr_d.20230101,gdas,00,crisf4,2023-01-01 00:00:00
34648776,2023-01-01 03:03:03.000000000,-03,gdas.t00z.eshrs3.tm00.bufr_d.20230101,gdas,00,eshrs3,2023-01-01 00:00:00
67496064,2023-01-01 03:03:03.000000000,-03,gdas.t00z.esmhs.tm00.bufr_d.20230101,gdas,00,esmhs,2023-01-01 00:00:00
2558592,2023-01-01 03:03:02.000000000,-03,gdas.t00z.gome.tm00.bufr_d.20230101,gdas,00,gome,2023-01-01 00:00:00
843552,2023-01-01 03:03:03.000000000,-03,gdas.t00z.gpsipw.tm00.bufr_d.nr.20230101,gdas,00,gpsipw,2023-01-01 00:00:00
32159544,2023-01-01 03:03:04.000000000,-03,gdas.t00z.gpsro.tm00.bufr_d.20230101,gdas,00,gpsro,2023-01-01 00:00:00
697402560,2023-01-01 03:03:14.000000000,-03,gdas.t00z.mtiasi.tm00.bufr_d.20230101,gdas,00,mtiasi,2023-01-01 00:00:00
0,2023-01-01 03:03:03.000000000,-03,gdas.t00z.osbuv8.tm00.bufr_d.20230101,gdas,00,osbuv8,2023-01-01 00:00:00
60634368,2023-01-01 03:23:33.000000000,-03,gdas.t00z.prepbufr.nr.20230101,gdas,00,prepbufr,2023-01-01 00:00:00
319442808,2023-01-01 03:03:10.000000000,-03,gdas.t00z.satwnd.tm00.bufr_d.20230101,gdas,00,satwnd,2023-01-01 00:00:00
0,2023-01-01 03:03:02.000000000,-03,gdas.t00z.sevcsr.tm00.bufr_d.20230101,gdas,00,sevcsr,2023-01-01 00:00:00
12800112,2023-01-01 09:04:14.000000000,-03,gdas.t06z.1bamua.tm00.bufr_d.20230101,gdas,06,1bamua,2023-01-01 06:00:00
21958504,2023-01-01 09:04:14.000000000,-03,gdas.t06z.1bhrs4.tm00.bufr_d.20230101,gdas,06,1bhrs4,2023-01-01 06:00:00
0,2023-01-01 09:04:13.000000000,-03,gdas.t06z.airsev.tm00.bufr_d.20230101,gdas,06,airsev,2023-01-01 06:00:00
159363904,2023-01-01 09:04:16.000000000,-03,gdas.t06z.atms.tm00.bufr_d.20230101,gdas,06,atms,2023-01-01 06:00:00
1209124688,2023-01-01 09:04:36.000000000,-03,gdas.t06z.crisf4.tm00.bufr_d.20230101,gdas,06,crisf4,2023-01-01 06:00:00
24886560,2023-01-01 09:04:14.000000000,-03,gdas.t06z.eshrs3.tm00.bufr_d.20230101,gdas,06,eshrs3,2023-01-01 06:00:00
32799600,2023-01-01 09:04:14.000000000,-03,gdas.t06z.esmhs.tm00.bufr_d.20230101,gdas,06,esmhs,2023-01-01 06:00:00
2398128,2023-01-01 09:04:15.000000000,-03,gdas.t06z.gome.tm00.bufr_d.20230101,gdas,06,gome,2023-01-01 06:00:00
836320,2023-01-01 09:04:14.000000000,-03,gdas.t06z.gpsipw.tm00.bufr_d.nr.20230101,gdas,06,gpsipw,2023-01-01 06:00:00
35239328,2023-01-01 09:04:14.000000000,-03,gdas.t06z.gpsro.tm00.bufr_d.20230101,gdas,06,gpsro,2023-01-01 06:00:00
811585760,2023-01-01 09:04:32.000000000,-03,gdas.t06z.mtiasi.tm00.bufr_d.20230101,gdas,06,mtiasi,2023-01-01 06:00:00
0,2023-01-01 09:04:14.000000000,-03,gdas.t06z.osbuv8.tm00.bufr_d.20230101,gdas,06,osbuv8,2023-01-01 06:00:00
60836384,2023-01-01 09:24:39.000000000,-03,gdas.t06z.prepbufr.nr.20230101,gdas,06,prepbufr,2023-01-01 06:00:00
321422656,2023-01-01 09:04:22.000000000,-03,gdas.t06z.satwnd.tm00.bufr_d.20230101,gdas,06,satwnd,2023-01-01 06:00:00
0,2023-01-01 09:04:14.000000000,-03,gdas.t06z.sevcsr.tm00.bufr_d.20230101,gdas,06,sevcsr,2023-01-01 06:00:00
14103560,2023-01-01 15:26:45.000000000,-03,gdas.t12z.1bamua.tm00.bufr_d.20230101,gdas,12,1bamua,2023-01-01 12:00:00
22432328,2023-01-01 15:06:21.000000000,-03,gdas.t12z.1bhrs4.tm00.bufr_d.20230101,gdas,12,1bhrs4,2023-01-01 12:00:00
0,2023-01-01 15:06:21.000000000,-03,gdas.t12z.airsev.tm00.bufr_d.20230101,gdas,12,airsev,2023-01-01 12:00:00
158656080,2023-01-01 15:06:24.000000000,-03,gdas.t12z.atms.tm00.bufr_d.20230101,gdas,12,atms,2023-01-01 12:00:00
1201598584,2023-01-01 15:06:36.000000000,-03,gdas.t12z.crisf4.tm00.bufr_d.20230101,gdas,12,crisf4,2023-01-01 12:00:00
34868920,2023-01-01 15:06:21.000000000,-03,gdas.t12z.eshrs3.tm00.bufr_d.20230101,gdas,12,eshrs3,2023-01-01 12:00:00
56001696,2023-01-01 15:06:22.000000000,-03,gdas.t12z.esmhs.tm00.bufr_d.20230101,gdas,12,esmhs,2023-01-01 12:00:00
2396952,2023-01-01 15:06:21.000000000,-03,gdas.t12z.gome.tm00.bufr_d.20230101,gdas,12,gome,2023-01-01 12:00:00
971424,2023-01-01 15:26:45.000000000,-03,gdas.t12z.gpsipw.tm00.bufr_d.nr.20230101,gdas,12,gpsipw,2023-01-01 12:00:00
35727992,2023-01-01 15:26:47.000000000,-03,gdas.t12z.gpsro.tm00.bufr_d.20230101,gdas,12,gpsro,2023-01-01 12:00:00
822833752,2023-01-01 15:26:54.000000000,-03,gdas.t12z.mtiasi.tm00.bufr_d.20230101,gdas,12,mtiasi,2023-01-01 12:00:00
0,2023-01-01 15:26:45.000000000,-03,gdas.t12z.osbuv8.tm00.bufr_d.20230101,gdas,12,osbuv8,2023-01-01 12:00:00
61475448,2023-01-01 15:26:46.000000000,-03,gdas.t12z.prepbufr.nr.20230101,gdas,12,prepbufr,2023-01-01 12:00:00
362949384,2023-01-01 15:06:28.000000000,-03,gdas.t12z.satwnd.tm00.bufr_d.20230101,gdas,12,satwnd,2023-01-01 12:00:00
0,2023-01-01 15:06:21.000000000,-03,gdas.t12z.sevcsr.tm00.bufr_d.20230101,gdas,12,sevcsr,2023-01-01 12:00:00
13554096,2023-01-01 22:07:40.000000000,-03,gdas.t18z.1bamua.tm00.bufr_d.20230101,gdas,18,1bamua,2023-01-01 18:00:00
22104128,2023-01-01 22:07:41.000000000,-03,gdas.t18z.1bhrs4.tm00.bufr_d.20230101,gdas,18,1bhrs4,2023-01-01 18:00:00
0,2023-01-01 22:07:40.000000000,-03,gdas.t18z.airsev.tm00.bufr_d.20230101,gdas,18,airsev,2023-01-01 18:00:00
159883088,2023-01-01 22:07:44.000000000,-03,gdas.t18z.atms.tm00.bufr_d.20230101,gdas,18,atms,2023-01-01 18:00:00
1202900560,2023-01-01 22:08:04.000000000,-03,gdas.t18z.crisf4.tm00.bufr_d.20230101,gdas,18,crisf4,2023-01-01 18:00:00
26884624,2023-01-01 22:07:41.000000000,-03,gdas.t18z.eshrs3.tm00.bufr_d.20230101,gdas,18,eshrs3,2023-01-01 18:00:00
39984752,2023-01-01 22:07:41.000000000,-03,gdas.t18z.esmhs.tm00.bufr_d.20230101,gdas,18,esmhs,2023-01-01 18:00:00
2543680,2023-01-01 22:07:40.000000000,-03,gdas.t18z.gome.tm00.bufr_d.20230101,gdas,18,gome,2023-01-01 18:00:00
969696,2023-01-01 22:07:40.000000000,-03,gdas.t18z.gpsipw.tm00.bufr_d.nr.20230101,gdas,18,gpsipw,2023-01-01 18:00:00
33893992,2023-01-01 22:07:42.000000000,-03,gdas.t18z.gpsro.tm00.bufr_d.20230101,gdas,18,gpsro,2023-01-01 18:00:00
814221592,2023-01-01 22:08:00.000000000,-03,gdas.t18z.mtiasi.tm00.bufr_d.20230101,gdas,18,mtiasi,2023-01-01 18:00:00
0,2023-01-01 22:07:41.000000000,-03,gdas.t18z.osbuv8.tm00.bufr_d.20230101,gdas,18,osbuv8,2023-01-01 18:00:00
56288560,2023-01-01 22:07:42.000000000,-03,gdas.t18z.prepbufr.nr.20230101,gdas,18,prepbufr,2023-01-01 18:00:00
360422328,2023-01-01 22:07:50.000000000,-03,gdas.t18z.satwnd.tm00.bufr_d.20230101,gdas,18,satwnd,2023-01-01 18:00:00
0,2023-01-01 22:07:41.000000000,-03,gdas.t18z.sevcsr.tm00.bufr_d.20230101,gdas,18,sevcsr,2023-01-01 18:00:00
13870136,2023-01-02 03:20:01.000000000,-03,gdas.t00z.1bamua.tm00.bufr_d.20230102,gdas,00,1bamua,2023-01-02 00:00:00
